"","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15","P16","P17","P18","P19","P20","P21","P22","P23","P24","P25","P26","P27","P28","P29"
"15",0,100,158.561557302385,109.949590570933,100,136.528019988439,111.93950868512,100,759.554455169648,222.385913361053,1264.55677679122,110.364351152622,217.505104796323,515.219312059704,811.574099179247,158.071053097791,283.980755479746,172.363434417508,391.97697831645,303.402486258728,200,465.400555460685,523.281350038958,486.737933123941,1074.61038380404,614.25951116781,400,551.845764492108,2359.79518582743
"16",0,100,158.561557302385,107.959672456746,100,137.625451076512,104.974795285466,100,2470.26625082899,195.515431330327,1614.86288101397,300.22674808735,248.344623050727,520.502736142584,377.856792519175,162.720732488262,332.416009204391,176.182007079468,414.990670805651,309.052235372745,200,462.680955360903,522.659679546504,486.746877983009,400.000000000001,612.728645558598,503.285680653326,537.783161144853,2202.84889796908
"17",0,100,158.561557302385,107.959672456746,100,140.288313277694,109.949590570933,100,2530.80916407865,171.636422133278,1580.60938458737,122.236133055851,209.543396339169,394.292694493839,341.080563808161,142.996870564439,406.505736249043,176.573634826103,279.844482647394,309.432333129081,2240.86082632705,468.354236408464,532.223641489868,486.798509964472,955.514039465667,607.462966443959,400,564.844648641471,2399.1767868733
"18",0,100,158.561557302385,108.95463151384,100,135.930982530959,106.964713399653,100,3813.5381396352,202.478957970417,1498.40842716014,242.809491590754,188.651872891616,270.10362321124,331.582773718993,456.814729795992,235.978338913575,239.643350478272,286.36175821423,307.9086507876,200,463.076244491884,540.702419268493,486.737205028895,989.91620011151,606.834990645924,400,571.459653468773,2126.0315201196
"19",0,100,164.117395013355,103.979836228373,100,139.344689683126,106.964713399653,100,2777.06194830609,171.643416790719,1230.26995047508,263.931271840407,231.433822891115,364.838631242545,225.31365275702,274.061137849361,349.862305589641,247.650195492969,160.77861727781,310.503343002933,200,455.892214468272,528.943555436489,486.762011684213,952.287021452984,602.197297160925,503.285680653326,548.411403291241,2409.35065007561
"20",0,100,158.561557302385,109.949590570933,100,133.754315217005,106.964713399653,100,3075.11462233719,179.602813655513,1103.83063221565,159.388355024874,217.476829938768,344.887671178386,103.597671350943,170.566533452798,303.108110745709,175.977367773361,210.44671955072,309.270927629669,200,457.798980744683,530.060072188305,486.758092418739,994.314070805749,610.90575013577,503.285680653326,574.570958085018,2190.05042889524
"21",0,100,158.561557302385,105.96975434256,100,137.128084114132,104.974795285466,100,2081.31369291529,173.62660072596,1439.66976488708,120.221662095041,191.63555617297,473.054998130764,118.33382039858,176.531127004746,264.55661819599,153.150020890094,660.414004967528,307.709632097828,200,459.250964100798,524.366421781132,486.753265152536,963.143433845471,629.235243419211,503.285680653326,587.368933245767,2314.2009183227
"22",0,100,164.117395013355,106.964713399653,100.000000137847,135.829205651248,107.959672456746,100,2569.03628941481,200.496781331437,1878.0358857495,199.586809468874,206.56083775411,263.657739493416,235.105629808021,217.864791099299,439.754928524023,169.287495173506,305.564467766344,311.972783664726,200,446.466730310352,525.137177796514,486.740492007627,1051.04573368059,611.178796706397,503.285680653326,537.583140277252,2276.82193278461
"23",0,100,164.117395013355,110.944549628026,100,134.541071354729,109.949590570933,100,1679.19536975046,177.606371143474,963.581787063526,115.423693237063,218.500161567549,382.73546870604,344.564107939478,160.380324105693,353.304916038219,162.987090373287,423.398289571355,310.905477239155,200,462.775926481615,520.921860527999,486.814899270048,989.498624411223,602.965662761434,503.285680653326,534.368934219167,2612.12154690451
"24",0,100,158.561557302385,105.96975434256,100,138.671754902626,106.964713399653,100,2801.34919644419,173.633472163207,2033.06867520595,139.917132804991,258.298185563834,340.780553675653,610.727675743752,271.026569909888,321.516561477916,319.718986139133,169.585383732297,307.683277330003,2515.11571641202,457.189517916283,518.393026430596,486.772427156283,1047.90599023004,612.317207276391,400,552.1297344956,2288.34636896648
"25",0,100,164.117395013355,109.949590570933,100,136.811584072357,104.974795285466,100,1488.63190839353,201.767269149311,2705.86222382779,192.309533777412,223.465157204204,350.721294265085,236.786776337084,144.087619895524,528.785527901093,172.177669854073,1026.00212733422,306.310972926859,200,449.742296375829,527.400081468973,486.822925579999,1060.7579181843,614.824408343509,400,550.821482886437,2338.53492355769
