"","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15","P16","P17","P18","P19","P20","P21","P22","P23","P24","P25","P26","P27","P28","P29"
"11",1.4210854715202e-14,100,100,883.007825774226,201.230996667878,180.016166609125,751.683182546761,16929.020473707,4034.46426533181,197.512093744535,1099.57660908642,3005.22338637513,291.210651114533,569.547204769435,1234.53456722339,572.049391450522,288.767456514112,290.986961272084,1157.95844657891,687.539391011533,6335.70987224612,1232.61467308116,629.155833268614,486.949307362729,2305.41450172347,652.673604643222,400.000000000001,1105.92693696104,2604.63205254925
"12",1.4210854715202e-14,100,158.561557302385,1097.89929716889,155.669170248894,3281.73094970549,413.40622980748,11670.6616973287,6739.69894883991,256.20654577993,1609.88047158395,1283.31286205088,375.583619393665,447.732837240043,953.62024550035,720.777687349034,396.841574537451,246.653014660112,1855.82313704764,1061.63175451331,4916.6506782794,1799.43220279782,300.000000000001,486.875721190064,400.000000000001,660.658257516604,503.285680653326,835.149723482869,2799.25862775923
"13",1.4210854715202e-14,100,100,683.027069657831,202.007210079854,170.041048306091,563.644719927271,13332.9643219493,4674.31974897411,436.566366587051,1512.96372274643,2143.30887201419,342.860346113993,472.644592677938,809.276476373997,673.276162104262,243.301114578582,481.502087569004,1894.010945255,858.512498635951,6447.55870099599,2177.59819130443,770.9150873774,487.082737176797,400.000000000001,718.473367614755,400.000000000001,1572.89414937178,2610.6996241048
"14",1.4210854715202e-14,100,103.986623854301,791.478546318224,173.065524169216,3721.08178638578,814.362158313413,14932.2496673672,5202.17854420403,392.792324860472,1316.31049353919,791.981036491457,240.387183915478,406.823765351374,594.210153335637,830.072686338215,187.628717624036,368.816676445239,1417.66421896346,200.000000000001,7219.51015057107,2134.25189597879,568.89703221701,483.430860704323,2409.84235132993,689.697937689906,400.000000000001,1128.22676900612,2968.51181336701
"15",1.4210854715202e-14,100,103.986623854301,958.272014966736,212.476918435481,4316.83123799374,591.50069685751,11261.1900371273,5393.90294547042,416.133314520645,317.417242240113,2167.6447184034,232.429357885751,446.544075753929,833.27523941584,985.241003086293,296.460645173921,352.06212865541,1683.62034670865,615.498385806483,6831.29480963591,1619.33425133575,579.287178104626,487.287248606312,1742.12369166471,673.072875630003,513.975165773641,1195.74214873746,2509.11342950986
"16",0,100,158.561557302385,788.493366457371,188.22308945467,4080.55949842817,446.240424164125,12018.2007603634,5141.46078377414,280.367936142205,1169.488911386,3404.5116051095,326.947322530021,427.103883246788,921.824134424961,604.853875148984,393.507392072026,270.796655453953,1028.35950185122,342.616875195852,6185.82987239925,2492.13177585637,648.532734905868,486.971890593252,1806.07737469685,625.81045001756,400.000000000001,1052.58088960216,2634.8315191433
"17",1.4210854715202e-14,100,158.561557302385,554.686855150391,184.709664400459,3028.2373420956,696.354430634549,17108.3590721806,4558.51624823426,197.505058510769,1635.55025653543,1154.57899655865,374.704972347327,743.963988266919,713.906877096208,547.783663463685,535.605501677293,321.936237288351,1377.36909714388,351.592099181204,6203.95707410327,1670.78855287493,789.577775300721,497.356893708729,1686.54345064183,692.024898173279,400.000000000001,1310.61053877757,3220.72817310382
"18",1.4210854715202e-14,100,158.561557302385,788.487697061615,189.215527143313,181.65137287603,709.896200561652,13820.8508739046,5059.3278836506,298.655530204163,1876.9918442159,1226.00286741652,179.696758899054,392.887725521806,1138.09534133531,774.612242517811,149.455450167178,427.88147922426,1163.48698851987,729.716566245094,5581.88579529188,2349.75919145143,555.318170930171,496.273935194808,400.000000000001,718.080707431044,400.000000000001,905.575765988064,2156.0847551872
"19",0,100,100,573.593312797339,173.529074375301,177.527079863243,589.510766834341,15270.874156647,5118.40174441225,444.530736530566,2375.6009341491,2045.79617722712,251.333505887324,439.358001970985,631.64776619407,688.854527872872,241.0181485875,327.811692538701,1861.67067002398,1079.32022893017,5061.93217587395,2227.38261165378,628.939106231533,500.771348186457,2501.18711426501,626.646943514723,513.975165773641,991.074981519521,2659.76941075622
"20",1.4210854715202e-14,100,103.986623854301,727.750544282948,177.042934515706,184.562443374605,971.543751236572,11946.5101221349,5330.10824001166,288.32739710062,671.969000661014,2221.41987522902,256.307987060532,635.229212165529,881.091736952182,495.433562794395,341.074427570389,329.791323699031,1180.47524687965,351.385465104323,5492.9600009041,2152.25705064344,579.662371303916,487.117561632927,300.000000000001,666.903040396651,400.000000000001,1439.25629004288,2622.54896776153
